task,model,dataset,n_seeds,n_points_per_cluster,proj,clustering,cluster distance,representative,k,pool size,recall,map
txt2img,clip,coco,5,30,tsne (pca),agglomerative,15,centroid,10,1000,0.88,0.58
txt2img,clip,coco,10,30,tsne (pca),agglomerative,15,centroid,10,1000,0.72,0.45
txt2img,clip,coco,2,5,tsne (pca),agglomerative,15,medoid,10,1000,0.92,0.53
txt2img,clip,coco,3,5,tsne (pca),agglomerative,15,medoid,10,1000,0.96,0.49
txt2img,clip,coco,5,5,tsne (pca),agglomerative,15,medoid,10,1000,0.64,0.26
txt2img,clip,coco,10,5,tsne (pca),agglomerative,15,medoid,10,1000,0.08,0.01
txt2img,clip,coco,2,10,tsne (pca),agglomerative,15,medoid,10,1000,0.96,0.5
txt2img,clip,coco,3,10,tsne (pca),agglomerative,15,medoid,10,1000,0.6,0.37
txt2img,clip,coco,5,10,tsne (pca),agglomerative,15,medoid,10,1000,0.12,0.05
txt2img,clip,coco,10,10,tsne (pca),agglomerative,15,medoid,10,1000,0.44,0.29
txt2img,clip,coco,2,20,tsne (pca),agglomerative,15,medoid,10,1000,0.44,0.2
txt2img,clip,coco,3,20,tsne (pca),agglomerative,15,medoid,10,1000,0.76,0.5
txt2img,clip,coco,5,20,tsne (pca),agglomerative,15,medoid,10,1000,0.88,0.43
txt2img,clip,coco,10,20,tsne (pca),agglomerative,15,medoid,10,1000,0.64,0.29
txt2img,clip,coco,2,30,tsne (pca),agglomerative,15,medoid,10,1000,0.88,0.44
txt2img,clip,coco,3,30,tsne (pca),agglomerative,15,medoid,10,1000,0.96,0.45
txt2img,clip,coco,5,30,tsne (pca),agglomerative,15,medoid,10,1000,0.92,0.59
txt2img,clip,coco,10,30,tsne (pca),agglomerative,15,medoid,10,1000,0.76,0.47
txt2img,clip,coco,2,5,tsne (pca),agglomerative,25,centroid,10,1000,0.92,0.42
txt2img,clip,coco,3,5,tsne (pca),agglomerative,25,centroid,10,1000,0.92,0.47
txt2img,clip,coco,5,5,tsne (pca),agglomerative,25,centroid,10,1000,0.92,0.42
txt2img,clip,coco,10,5,tsne (pca),agglomerative,25,centroid,10,1000,0.0,0.0
txt2img,clip,coco,2,10,tsne (pca),agglomerative,25,centroid,10,1000,0.88,0.47
txt2img,clip,coco,3,10,tsne (pca),agglomerative,25,centroid,10,1000,0.36,0.15
txt2img,clip,coco,5,10,tsne (pca),agglomerative,25,centroid,10,1000,0.16,0.06
txt2img,clip,coco,10,10,tsne (pca),agglomerative,25,centroid,10,1000,0.4,0.24
txt2img,clip,coco,2,20,tsne (pca),agglomerative,25,centroid,10,1000,0.44,0.15
txt2img,clip,coco,3,20,tsne (pca),agglomerative,25,centroid,10,1000,0.28,0.14
txt2img,clip,coco,5,20,tsne (pca),agglomerative,25,centroid,10,1000,0.72,0.41
txt2img,clip,coco,10,20,tsne (pca),agglomerative,25,centroid,10,1000,0.72,0.44
txt2img,clip,coco,2,30,tsne (pca),agglomerative,25,centroid,10,1000,0.56,0.32
txt2img,clip,coco,3,30,tsne (pca),agglomerative,25,centroid,10,1000,0.84,0.52
txt2img,clip,coco,5,30,tsne (pca),agglomerative,25,centroid,10,1000,0.96,0.51
txt2img,clip,coco,10,30,tsne (pca),agglomerative,25,centroid,10,1000,0.72,0.44
txt2img,clip,coco,2,5,tsne (pca),agglomerative,25,medoid,10,1000,0.84,0.45
txt2img,clip,coco,3,5,tsne (pca),agglomerative,25,medoid,10,1000,0.8,0.38
txt2img,clip,coco,5,5,tsne (pca),agglomerative,25,medoid,10,1000,0.64,0.26
txt2img,clip,coco,10,5,tsne (pca),agglomerative,25,medoid,10,1000,0.08,0.03
txt2img,clip,coco,2,10,tsne (pca),agglomerative,25,medoid,10,1000,0.92,0.45
txt2img,clip,coco,3,10,tsne (pca),agglomerative,25,medoid,10,1000,0.48,0.19
txt2img,clip,coco,5,10,tsne (pca),agglomerative,25,medoid,10,1000,0.24,0.1
txt2img,clip,coco,10,10,tsne (pca),agglomerative,25,medoid,10,1000,0.16,0.04
txt2img,clip,coco,2,20,tsne (pca),agglomerative,25,medoid,10,1000,0.36,0.17
txt2img,clip,coco,3,20,tsne (pca),agglomerative,25,medoid,10,1000,0.12,0.06
txt2img,clip,coco,5,20,tsne (pca),agglomerative,25,medoid,10,1000,0.6,0.46
txt2img,clip,coco,10,20,tsne (pca),agglomerative,25,medoid,10,1000,0.64,0.34
txt2img,clip,coco,2,30,tsne (pca),agglomerative,25,medoid,10,1000,0.44,0.21
txt2img,clip,coco,3,30,tsne (pca),agglomerative,25,medoid,10,1000,0.8,0.49
txt2img,clip,coco,5,30,tsne (pca),agglomerative,25,medoid,10,1000,0.92,0.5
txt2img,clip,coco,10,30,tsne (pca),agglomerative,25,medoid,10,1000,0.76,0.45
txt2img,clip,coco,2,5,tsne (pca),agglomerative,50,centroid,10,1000,0.88,0.35
txt2img,clip,coco,3,5,tsne (pca),agglomerative,50,centroid,10,1000,0.64,0.19
txt2img,clip,coco,5,5,tsne (pca),agglomerative,50,centroid,10,1000,0.8,0.31
txt2img,clip,coco,10,5,tsne (pca),agglomerative,50,centroid,10,1000,0.04,0.04
txt2img,clip,coco,2,10,tsne (pca),agglomerative,50,centroid,10,1000,0.88,0.48
txt2img,clip,coco,3,10,tsne (pca),agglomerative,50,centroid,10,1000,0.48,0.17
txt2img,clip,coco,5,10,tsne (pca),agglomerative,50,centroid,10,1000,0.16,0.06
txt2img,clip,coco,10,10,tsne (pca),agglomerative,50,centroid,10,1000,0.08,0.02
txt2img,clip,coco,2,20,tsne (pca),agglomerative,50,centroid,10,1000,0.52,0.28
txt2img,clip,coco,3,20,tsne (pca),agglomerative,50,centroid,10,1000,0.28,0.08
txt2img,clip,coco,5,20,tsne (pca),agglomerative,50,centroid,10,1000,0.12,0.02
txt2img,clip,coco,10,20,tsne (pca),agglomerative,50,centroid,10,1000,0.28,0.15
txt2img,clip,coco,2,30,tsne (pca),agglomerative,50,centroid,10,1000,0.56,0.18
txt2img,clip,coco,3,30,tsne (pca),agglomerative,50,centroid,10,1000,0.28,0.12
txt2img,clip,coco,5,30,tsne (pca),agglomerative,50,centroid,10,1000,0.6,0.25
txt2img,clip,coco,10,30,tsne (pca),agglomerative,50,centroid,10,1000,0.56,0.42
txt2img,clip,coco,2,5,tsne (pca),agglomerative,50,medoid,10,1000,0.84,0.45
txt2img,clip,coco,3,5,tsne (pca),agglomerative,50,medoid,10,1000,0.8,0.41
txt2img,clip,coco,5,5,tsne (pca),agglomerative,50,medoid,10,1000,0.68,0.31
txt2img,clip,coco,10,5,tsne (pca),agglomerative,50,medoid,10,1000,0.08,0.05
txt2img,clip,coco,2,10,tsne (pca),agglomerative,50,medoid,10,1000,0.88,0.5
txt2img,clip,coco,3,10,tsne (pca),agglomerative,50,medoid,10,1000,0.48,0.22
txt2img,clip,coco,5,10,tsne (pca),agglomerative,50,medoid,10,1000,0.08,0.01
txt2img,clip,coco,10,10,tsne (pca),agglomerative,50,medoid,10,1000,0.0,0.0
txt2img,clip,coco,2,20,tsne (pca),agglomerative,50,medoid,10,1000,0.4,0.22
txt2img,clip,coco,3,20,tsne (pca),agglomerative,50,medoid,10,1000,0.28,0.13
txt2img,clip,coco,5,20,tsne (pca),agglomerative,50,medoid,10,1000,0.2,0.18
txt2img,clip,coco,10,20,tsne (pca),agglomerative,50,medoid,10,1000,0.28,0.15
txt2img,clip,coco,2,30,tsne (pca),agglomerative,50,medoid,10,1000,0.4,0.23
txt2img,clip,coco,3,30,tsne (pca),agglomerative,50,medoid,10,1000,0.28,0.15
txt2img,clip,coco,5,30,tsne (pca),agglomerative,50,medoid,10,1000,0.56,0.36
txt2img,clip,coco,10,30,tsne (pca),agglomerative,50,medoid,10,1000,0.44,0.32
txt2img,clip,coco,2,5,tsne,hdbscan,5,centroid,10,1000,0,0
txt2img,clip,coco,3,5,tsne,hdbscan,5,centroid,10,1000,0,0
txt2img,clip,coco,5,5,tsne,hdbscan,5,centroid,10,1000,0,0
txt2img,clip,coco,10,5,tsne,hdbscan,5,centroid,10,1000,0.12,0.07
txt2img,clip,coco,2,10,tsne,hdbscan,5,centroid,10,1000,0,0
txt2img,clip,coco,3,10,tsne,hdbscan,5,centroid,10,1000,0.04,0.02
txt2img,clip,coco,5,10,tsne,hdbscan,5,centroid,10,1000,0.4,0.21
txt2img,clip,coco,10,10,tsne,hdbscan,5,centroid,10,1000,0.24,0.19
txt2img,clip,coco,2,20,tsne,hdbscan,5,centroid,10,1000,0.84,0.51
txt2img,clip,coco,3,20,tsne,hdbscan,5,centroid,10,1000,0.56,0.32
txt2img,clip,coco,5,20,tsne,hdbscan,5,centroid,10,1000,0.36,0.16
txt2img,clip,coco,10,20,tsne,hdbscan,5,centroid,10,1000,0.2,0.12
txt2img,clip,coco,2,30,tsne,hdbscan,5,centroid,10,1000,0.92,0.55
txt2img,clip,coco,3,30,tsne,hdbscan,5,centroid,10,1000,0.6,0.28
txt2img,clip,coco,5,30,tsne,hdbscan,5,centroid,10,1000,0.32,0.09
txt2img,clip,coco,10,30,tsne,hdbscan,5,centroid,10,1000,0.28,0.11
txt2img,clip,coco,2,5,tsne,hdbscan,5,medoid,10,1000,0,0
txt2img,clip,coco,3,5,tsne,hdbscan,5,medoid,10,1000,0,0
txt2img,clip,coco,5,5,tsne,hdbscan,5,medoid,10,1000,0,0
txt2img,clip,coco,10,5,tsne,hdbscan,5,medoid,10,1000,0.12,0.06
txt2img,clip,coco,2,10,tsne,hdbscan,5,medoid,10,1000,0,0
txt2img,clip,coco,3,10,tsne,hdbscan,5,medoid,10,1000,0.28,0.11
txt2img,clip,coco,5,10,tsne,hdbscan,5,medoid,10,1000,0.36,0.16
txt2img,clip,coco,10,10,tsne,hdbscan,5,medoid,10,1000,0.12,0.06
txt2img,clip,coco,2,20,tsne,hdbscan,5,medoid,10,1000,0.88,0.43
txt2img,clip,coco,3,20,tsne,hdbscan,5,medoid,10,1000,0.48,0.33
txt2img,clip,coco,5,20,tsne,hdbscan,5,medoid,10,1000,0.32,0.18
txt2img,clip,coco,10,20,tsne,hdbscan,5,medoid,10,1000,0.08,0.08
txt2img,clip,coco,2,30,tsne,hdbscan,5,medoid,10,1000,0.84,0.46
txt2img,clip,coco,3,30,tsne,hdbscan,5,medoid,10,1000,0.56,0.36
txt2img,clip,coco,5,30,tsne,hdbscan,5,medoid,10,1000,0.4,0.23
txt2img,clip,coco,10,30,tsne,hdbscan,5,medoid,10,1000,0.24,0.21
txt2img,clip,coco,2,5,tsne,hdbscan,15,centroid,10,1000,0,0
txt2img,clip,coco,3,5,tsne,hdbscan,15,centroid,10,1000,0,0
txt2img,clip,coco,5,5,tsne,hdbscan,15,centroid,10,1000,0,0
txt2img,clip,coco,10,5,tsne,hdbscan,15,centroid,10,1000,0.12,0.06
txt2img,clip,coco,2,10,tsne,hdbscan,15,centroid,10,1000,0,0
txt2img,clip,coco,3,10,tsne,hdbscan,15,centroid,10,1000,0.24,0.06
txt2img,clip,coco,5,10,tsne,hdbscan,15,centroid,10,1000,0.4,0.23
txt2img,clip,coco,10,10,tsne,hdbscan,15,centroid,10,1000,0.08,0.05
txt2img,clip,coco,2,20,tsne,hdbscan,15,centroid,10,1000,0.88,0.54
txt2img,clip,coco,3,20,tsne,hdbscan,15,centroid,10,1000,0.6,0.38
